neighborhood,playground_count,playground_score
Squirrel Hill South,8,1.0
Beechview,5,0.625
South Side Slopes,5,0.625
Allegheny Center,4,0.5
Highland Park,4,0.5
Sheraden,4,0.5
Beltzhoover,4,0.5
Upper Lawrenceville,3,0.375
Mount Washington,3,0.375
Hazelwood,3,0.375
Elliott,3,0.375
Carrick,3,0.375
East Liberty,3,0.375
Crawford-Roberts,3,0.375
South Oakland,3,0.375
Lincoln-Lemington-Belmar,2,0.25
Garfield,2,0.25
Morningside,2,0.25
Crafton Heights,2,0.25
Greenfield,2,0.25
Manchester,2,0.25
Brighton Heights,2,0.25
Central Northside,2,0.25
Lincoln Place,2,0.25
Brookline,2,0.25
Marshall-Shadeland,2,0.25
South Side Flats,2,0.25
Troy Hill,2,0.25
Bloomfield,2,0.25
Bedford Dwellings,1,0.125
Allentown,1,0.125
Banksville,1,0.125
Central Lawrenceville,1,0.125
East Carnegie,1,0.125
Duquesne Heights,1,0.125
East Allegheny,1,0.125
Lower Lawrenceville,1,0.125
Larimer,1,0.125
Homewood North,1,0.125
Homewood West,1,0.125
Fairywood,1,0.125
Esplen,1,0.125
Fineview,1,0.125
Hays,1,0.125
Central Oakland,1,0.125
Bluff,1,0.125
Bon Air,1,0.125
Perry South,1,0.125
Perry North,1,0.125
Oakwood,1,0.125
New Homestead,1,0.125
Middle Hill,1,0.125
Shadyside,1,0.125
Point Breeze North,1,0.125
Polish Hill,1,0.125
Regent Square,1,0.125
Squirrel Hill North,1,0.125
Stanton Heights,1,0.125
Spring Hill-City View,1,0.125
Spring Garden,1,0.125
Swisshelm Park,1,0.125
Strip District,1,0.125
Terrace Village,1,0.125
Upper Hill,1,0.125
West End,1,0.125
West Oakland,1,0.125
Westwood,1,0.125
Windgap,1,0.125
